"id","categoria","repositorio","url","licencia","actividad","utilidad_manos_abiertas","riesgo"
"1","accesibilidad","dequelabs/axe-core","https://github.com/dequelabs/axe-core","MPL-2.0","2026-08","Motor WCAG automatizado para tests y navegador","B"
"2","accesibilidad","pa11y/pa11y","https://github.com/pa11y/pa11y","LGPL-3.0","2026-07","Auditoría accesible automatizada desde CLI o CI","B"
"3","accesibilidad","GoogleChrome/lighthouse","https://github.com/GoogleChrome/lighthouse","Apache-2.0","2026-08","Audita accesibilidad PWA rendimiento y SEO","B"
"4","accesibilidad","jsx-eslint/eslint-plugin-jsx-a11y","https://github.com/jsx-eslint/eslint-plugin-jsx-a11y","MIT","2026-01","Detecta errores a11y directamente en JSX","B"
"5","accesibilidad","microsoft/accessibility-insights-web","https://github.com/microsoft/accessibility-insights-web","MIT","2026-07","Inspección guiada WCAG y pruebas manuales","B"
"6","accesibilidad","a11yproject/a11yproject.com","https://github.com/a11yproject/a11yproject.com","Apache-2.0","2026-07","Checklist y documentación accesible comprensible","B"
"7","accesibilidad","alphagov/accessible-autocomplete","https://github.com/alphagov/accessible-autocomplete","MIT","2025-12","Autocompletado accesible para ciudades y recursos","B"
"8","accesibilidad","w3c/aria-practices","https://github.com/w3c/aria-practices","ND","2026-07","Patrones ARIA oficiales y ejemplos interactivos","B"
"9","accesibilidad","adobe/react-spectrum","https://github.com/adobe/react-spectrum","Apache-2.0","2026-08","Primitivas React internacionales y accesibles","M"
"10","accesibilidad","alphagov/govuk-frontend","https://github.com/alphagov/govuk-frontend","MIT","2026-08","Patrones públicos accesibles para formularios complejos","M"
"11","accesibilidad","uswds/uswds","https://github.com/uswds/uswds","Apache-2.0","2026-08","Referencia de diseño público inclusivo","M"
"12","accesibilidad","component-driven/cypress-axe","https://github.com/component-driven/cypress-axe","MIT","2025-08","Integra axe en pruebas Cypress","B"
"13","accesibilidad","abhinaba-ghosh/axe-playwright","https://github.com/abhinaba-ghosh/axe-playwright","MIT","2025-09","Integra axe con Playwright","B"
"14","accesibilidad","KittyGiraudel/a11y-dialog","https://github.com/KittyGiraudel/a11y-dialog","MIT","2026-08","Diálogos accesibles y ligeros","B"
"15","accesibilidad","IBMa/equal-access","https://github.com/IBMa/equal-access","Apache-2.0","2026-08","Reglas y herramientas de evaluación accesible","B"
"16","accesibilidad","Siteimprove/alfa","https://github.com/Siteimprove/alfa","MIT","2026-08","Motor avanzado para evaluar accesibilidad web","M"
"17","accesibilidad","radix-ui/primitives","https://github.com/radix-ui/primitives","MIT","2026-07","Primitivas React accesibles sin imponer estilos","B"
"18","accesibilidad","reach/reach-ui","https://github.com/reach/reach-ui","MIT","2025-02","Referencia de componentes React accesibles","M"
"19","accesibilidad","storybookjs/storybook","https://github.com/storybookjs/storybook","MIT","2026-08","Prueba componentes y estados accesibles aisladamente","M"
"20","accesibilidad","vue-a11y/eslint-plugin-vuejs-accessibility","https://github.com/vue-a11y/eslint-plugin-vuejs-accessibility","MIT","2026-08","Referencia de reglas a11y; no integración React directa","A"
"21","i18n","i18next/i18next","https://github.com/i18next/i18next","MIT","2026-07","Motor i18n maduro para 39 idiomas","B"
"22","i18n","i18next/react-i18next","https://github.com/i18next/react-i18next","MIT","2026-08","Integración React de i18next","B"
"23","i18n","amannn/next-intl","https://github.com/amannn/next-intl","MIT","2026-08","i18n nativo para Next.js App Router","B"
"24","i18n","formatjs/formatjs","https://github.com/formatjs/formatjs","ND","2026-08","Fechas números plurales y mensajes ICU","B"
"25","i18n","lingui/js-lingui","https://github.com/lingui/js-lingui","MIT","2026-08","Catálogos tipados y extracción de mensajes","B"
"26","i18n","projectfluent/fluent.js","https://github.com/projectfluent/fluent.js","Apache-2.0","2026-01","Mensajes complejos adaptados a cada idioma","M"
"27","i18n","inlang/monorepo","https://github.com/inlang/monorepo","ND","2026-08","Infraestructura y control de calidad de traducciones","M"
"28","i18n","WeblateOrg/weblate","https://github.com/WeblateOrg/weblate","AGPL-3.0","2026-08","Plataforma colaborativa de traducción autohospedada","M"
"29","i18n","Crowdin/crowdin-cli","https://github.com/Crowdin/crowdin-cli","MIT","2026-08","Sincroniza catálogos con Crowdin","M"
"30","i18n","translate/translate","https://github.com/translate/translate","AGPL-3.0","2026-08","Herramientas y formatos de localización","M"
"31","i18n","unicode-org/icu","https://github.com/unicode-org/icu","Unicode-3.0","2026-08","Base internacional oficial para formatos y Unicode","M"
"32","i18n","unicode-org/cldr","https://github.com/unicode-org/cldr","MIT","2026-08","Datos oficiales de idiomas territorios y formatos","M"
